S_MASS,P_PERIOD,P_DISTANCE,P_HABITABLE
2.7,326.03,1.3244178,0
2.78,516.21997,1.534896,0
2.2,185.84,0.83,0
0.9,1773.4,3.1305585,0
1.08,798.5,2.043792,0
2.3,993.3,2.60832,0
0.99,30.3506,0.19016758,0
1.54,452.8,1.3383987,0
1.54,883.0,2.167464,0
0.48,416.0,0.92,0
0.08,7336.5,3.2908045,0
1.93,335.10001,1.0316295,0
1.23,269.3,0.95118144,0
0.98,479.1,1.275918,0
1.03,1078.0,2.1010752,0
1.03,2391.0,3.6172872,0
1.03,14002.0,11.74848,0
1.75,11688.0,13.215,0
1.12,4.230785,0.052704453,0
0.91,14.65152,0.11522767,0
0.91,44.4175,0.24142428,0
0.91,4825.0,5.5039933,0
0.91,0.736539,0.01544,0
0.91,262.0,0.82465185,0
1.44,934.3,2.1156221,0
0.94,4.215,0.050562447,0
0.94,38.021,0.2196315,0
0.94,123.01,0.505155,0
1.52,796.0,1.976706,0
1.09,116.688,0.51924947,0
2.49,691.9,2.1143734,0
1.44,93.4,0.490882,0
2.4,952.7,2.553045,0
1.4,181.4,0.70025515,0
1.14,481.9,1.326,0
0.49,268.94,0.812799,0
1.08,153.22,0.57600029,0
1.1,137.48,0.5572182,0
0.8,578.2,1.328665,0
1.67,41.6855,0.27908623,0
0.74,392.6,1.02,0
1.09,733.0,2.19096,0
1.52,2590.0,4.45725,0
0.7,3.8728,0.0428,0
0.7,125.94,0.45590175,0
0.5,5.6,0.060675,0
0.5,237.6,0.692274,0
1.47,3.48777,0.040008,0
0.57,1667.0,2.28285,0
2.12,714.29999,1.696603,0
0.31,655.59998,1.535372,0
0.02,10037.5,2.6,0
0.9,8.9891,0.084223218,0
0.95,1.5089557,0.025304732,0
0.89,13.2406,0.12031747,0
1.27,2.99433,0.0436,0
1.08,2.828042,0.040258392,0
1.09,4.03519,0.051,0
1.13,1.51214,0.027,0
1.1,5.35227,0.06516501,0
1.04,3.7681,0.0461,0
0.95,1.9000693,0.0295944,0
1.21,3.89713,0.051857213,0
0.96,1.7429935,0.027982861,0
1.14,9.24285,0.1056645,0
1.14,1675.0,3.422,0
1.29,2.72474,0.0417,0
1.1,9.75598,0.092272734,0
1.14,3.6313,0.0486144,0
0.91,5.1134,0.056,0
0.91,11.759,0.098,0
1.09,4.86069,0.0578,0
1.09,4.20474,0.0526,0
1.05,3.57532,0.047700555,0
1.01,5.20851,0.060366601,0
0.97,2.85057,0.038729773,0
